Series,Current,Min,Max,Average
/odometry/filtered/pose/pose/position/y,-0.059632,-0.059652,-0.058456,-0.059039
/odometry/filtered/pose/pose/position/z,0.000000,0.000000,0.000000,0.000000
/odometry/filtered/twist/covariance[0;0],0.000000,0.000000,0.001253,0.000515
/odometry/filtered/twist/covariance[0;1],0.000000,0.000000,0.000000,0.000000
/odometry/filtered/twist/covariance[0;2],0.000000,0.000000,0.000000,0.000000
/odometry/filtered/twist/covariance[0;3],0.000000,0.000000,0.000000,0.000000
/odometry/filtered/twist/covariance[0;4],0.000000,0.000000,0.000000,0.000000
/odometry/filtered/twist/covariance[0;5],0.000000,0.000000,0.000000,0.000000
/odometry/filtered/twist/covariance[1;1],0.000458,0.000298,0.001585,0.000838
/odometry/filtered/twist/covariance[1;2],0.000000,0.000000,0.000000,0.000000
/odometry/filtered/twist/covariance[1;3],0.000000,0.000000,0.000000,0.000000
/odometry/filtered/twist/covariance[1;4],0.000000,0.000000,0.000000,0.000000
/odometry/filtered/twist/covariance[1;5],0.000000,0.000000,0.000000,0.000000
/odometry/filtered/twist/covariance[2;2],0.000001,0.000000,0.000001,0.000000
/odometry/filtered/twist/covariance[2;3],-0.000000,-0.000000,-0.000000,-0.000000
/odometry/filtered/twist/covariance[2;4],0.000000,0.000000,0.000000,0.000000
/odometry/filtered/twist/covariance[2;5],0.000000,0.000000,0.000000,0.000000
/odometry/filtered/twist/covariance[3;3],0.000001,0.000000,0.000001,0.000000
/odometry/filtered/twist/covariance[3;4],0.000000,0.000000,0.000000,0.000000
/odometry/filtered/twist/covariance[3;5],0.000000,0.000000,0.000000,0.000000
/odometry/filtered/twist/covariance[4;4],0.000001,0.000000,0.000001,0.000000
/odometry/filtered/twist/covariance[4;5],0.000000,0.000000,0.000000,0.000000
/odometry/filtered/twist/covariance[5;5],0.000000,0.000000,0.000927,0.000397
/odometry/filtered/twist/twist/angular/x,0.000000,0.000000,0.000000,0.000000
/odometry/filtered/twist/twist/angular/y,0.000000,0.000000,0.000000,0.000000
/odometry/filtered/twist/twist/angular/z,-0.000000,-0.000053,0.000029,-0.000001
/odometry/filtered/twist/twist/linear/x,-0.000000,-0.001528,-0.000000,-0.000445
/odometry/filtered/twist/twist/linear/y,-0.000393,-0.001808,-0.000186,-0.000774
/odometry/filtered/twist/twist/linear/z,0.000000,0.000000,0.000000,0.000000
